,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
171,,,,,,,,,,,,حولي,ض. الزهراء,خاص,بيت,بيع مستحق مشاع,%87.500,6,12/01/2023,400,586750
172,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,12/01/2023,497,300000
173,,,,,,,,,,,,حولي,ض. حطين,خاص,بيت,بيع,%100.000,4,12/01/2023,538,750000
174,,,,,,,,,,,,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,12/01/2023,500,403
175,,,,,,,,,,,,الفروانية,غرب عبدالله المبارك,خاص,بيت,بيع,%100.000,7,12/01/2023,400,650000
176,,,,,,,,,,,,مبارك الكبير,الفنيطيس,خاص,أرض,بيع,%100.000,8,12/01/2023,400,772000
177,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,11/01/2023,554,358000
178,,,,,,,,,,,,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,1,11/01/2023,400,415000
179,,,,,,,,,,,,حولي,سلوى,خاص,بيت,بيع,%100.000,8,11/01/2023,375,400000
180,,,,,,,,,,,,العاصمة,شمال غرب الصليبيخات,خاص,بيت,بيع,%100.000,1,11/01/2023,400,749044.8
181,,,,,,,,,,,,الأحمدي,الأحمدي,خاص,بيت,بيع,%100.000,1,11/01/2023,251,240000
182,,,,,,,,,,,,الأحمدي,شرق الأحمدي,خاص,بيت,بيع,%100.000,2,11/01/2023,251,200000
183,,,,,,,,,,,,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,8,11/01/2023,400,430000
184,,,,,,,,,,,,حولي,الشعب,إستثماري,بناية,بيع,%100.000,8,11/01/2023,889,2150000
185,,,,,,,,,,,,الأحمدي,الفحيحيل,خاص,بيت,بيع,%100.000,118,11/01/2023,600,410000
186,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,خاص,بيت,بيع,%100.000,0,10/01/2023,525,550000
187,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,تجاري,مجمع,بيع,%0.510,0,10/01/2023,2518,40000
188,,,,,,,,,,,,حولي,الشعب,إستثماري,شقة,بيع,%100.000,0,10/01/2023,123.54,125000
189,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,10/01/2023,494,510000
190,,,,,,,,,,,,الأحمدي,الصباحية,خاص,بيت,بيع,%100.000,1,10/01/2023,600,400000
191,,,,,,,,,,,,الجهراء,الواحة,خاص,بيت,بيع,%7.720,2,10/01/2023,300,17757.02
192,,,,,,,,,,,,حولي,ض. السلام,خاص,أرض,بيع,%100.000,6,10/01/2023,375,490000
193,,,,,,,,,,,,مبارك الكبير,القصور,خاص,بيت,بيع,%100.000,6,10/01/2023,400,380000
194,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,تجاري,محل,بيع,%100.000,0,10/01/2023,67.069,40000
195,,,,,,,,,,,,الأحمدي,الرقة,خاص,بيت,بيع,%100.000,1,09/01/2023,400,24600
196,,,,,,,,,,,,12345,1,2,3,4,5,,,,
197,,,,,,,,,,,,1,2,3,4,5,,,,,
